,ListedCoID,0
0,101704,7
1,101775,31
2,101776,36
3,102294,21
4,102295,47
5,102296,15
6,102313,56
7,102314,28
8,102336,18
9,102338,59
10,101859,26
11,101860,60
12,101620,27
13,101621,25
14,101622,21
15,101623,7
16,101711,25
17,101712,36
18,101629,3
19,101631,20
20,101632,25
21,101633,21
22,101721,18
23,101722,5
24,101778,17
25,101779,16
26,101655,8
27,101656,3
28,102321,11
29,102341,5
30,101916,11
31,101917,12
32,101918,35
33,101880,25
34,101881,24
35,10988,21
36,10880,10
37,10881,34
38,10985,48
39,10987,18
40,103439,18
41,101519,9
42,101184,31
43,101185,31
44,101186,6
45,101187,39
46,107889,33
47,101178,13
48,101532,42
49,101533,27
50,101534,17
51,101535,12
52,101551,14
53,10864,14
54,101552,11
55,101553,13
56,101554,8
57,101661,15
58,101662,5
59,101663,33
60,101681,8
61,101682,16
62,101671,8
63,101672,20
64,101674,8
65,101692,0
66,102270,16
67,102272,18
68,101838,41
69,101839,21
70,101840,15
71,101841,10
72,101842,8
73,103592,13
74,101684,16
75,101705,7
76,104100,8
77,101795,5
78,106591,28
79,102980,27
80,102298,19
81,101861,9
82,101862,4
83,101863,64
84,101885,23
85,101569,23
86,101570,15
87,101730,22
88,101731,58
89,101732,53
90,102759,27
91,101624,13
92,101723,15
93,101724,44
94,101742,17
95,101743,18
96,101817,15
97,101612,4
98,102323,17
99,102343,35
100,102344,4
101,102303,46
102,102324,33
103,101882,3
104,107585,26
105,101883,18
106,101884,22
107,101887,19
108,10854,34
109,10856,22
110,10858,20
111,101188,28
112,101480,17
113,101481,22
114,101482,40
115,107583,25
116,101483,20
117,107866,32
118,101181,23
119,101182,33
120,101183,20
121,101475,27
122,101476,29
123,101555,20
124,101557,16
125,101558,28
126,101559,35
127,101561,19
128,101562,16
129,101761,27
130,101780,19
131,101781,17
132,101782,27
133,107623,23
134,101783,3
135,101693,12
136,101772,14
137,101774,6
138,101792,2
139,101793,19
140,101794,49
141,102275,40
142,101902,18
143,101903,43
144,102273,23
145,102274,58
146,102276,7
147,101563,28
148,101564,25
149,101565,35
150,101566,16
151,102818,20
152,101568,26
153,101803,23
154,101804,16
155,101805,22
156,101806,32
157,107584,13
158,101687,10
